"ip","status","type","city","region","country","loc","org","postal","timezone"
"103.108.229.18","done","ok","Melbourne","Victoria","AU","-37.8140,144.9633","AS136557 Host Universal Pty Ltd","3000","Australia/Melbourne"
"103.108.231.162","done","ok","Perth","Western Australia","AU","-31.9522,115.8614","AS136557 Host Universal Pty Ltd","6000","Australia/Perth"
"103.108.231.18","done","ok","Perth","Western Australia","AU","-31.9522,115.8614","AS136557 Host Universal Pty Ltd","6000","Australia/Perth"
"103.108.231.226","done","ok","Perth","Western Australia","AU","-31.9522,115.8614","AS136557 Host Universal Pty Ltd","6000","Australia/Perth"
"103.108.231.242","done","ok","Perth","Western Australia","AU","-31.9522,115.8614","AS136557 Host Universal Pty Ltd","6000","Australia/Perth"
"103.125.235.18","done","ok","Tokyo","Tokyo","JP","35.6895,139.6917","AS3258 xTom Japan Corporation","101-8656","Asia/Tokyo"
"103.125.235.19","done","ok","Tokyo","Tokyo","JP","35.6895,139.6917","AS3258 xTom Japan Corporation","101-8656","Asia/Tokyo"
"103.125.235.20","done","ok","Tokyo","Tokyo","JP","35.6895,139.6917","AS3258 xTom Japan Corporation","101-8656","Asia/Tokyo"
"103.214.20.210","done","ok","Adelaide","South Australia","AU","-34.9287,138.5986","AS136557 Host Universal Pty Ltd","5000","Australia/Adelaide"
"103.214.20.98","done","ok","Adelaide","South Australia","AU","-34.9287,138.5986","AS136557 Host Universal Pty Ltd","5000","Australia/Adelaide"
"103.216.220.162","done","ok","Brisbane","Queensland","AU","-27.4679,153.0281","AS136557 Host Universal Pty Ltd","4000","Australia/Brisbane"
"103.216.220.178","done","ok","Brisbane","Queensland","AU","-27.4679,153.0281","AS136557 Host Universal Pty Ltd","4000","Australia/Brisbane"
"103.216.220.98","done","ok","Brisbane","Queensland","AU","-27.4679,153.0281","AS136557 Host Universal Pty Ltd","4000","Australia/Brisbane"
"103.216.223.34","done","ok","Singapore","Singapore","SG","1.2897,103.8501","AS136557 Host Universal Pty Ltd","018989","Asia/Singapore"
"103.216.223.50","done","ok","Singapore","Singapore","SG","1.2897,103.8501","AS136557 Host Universal Pty Ltd","018989","Asia/Singapore"
